epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,13773.8,0.71063,0.37476,0.95239,0.99001,0.9818,0.99396,0.84329,0.67502,0.31692,0.89317,0.000677543,0.000677543,0.000677543
60,14000.8,0.71457,0.37675,0.95482,0.99064,0.98224,0.994,0.85559,0.65196,0.31461,0.88702,0.000667789,0.000667789,0.000667789
61,14236.5,0.71473,0.37783,0.95853,0.99122,0.98028,0.99414,0.85752,0.62726,0.3132,0.88528,0.000657963,0.000657963,0.000657963
62,14474.1,0.73465,0.38678,0.9669,0.99185,0.97963,0.99405,0.8538,0.63108,0.30826,0.88174,0.000648071,0.000648071,0.000648071
63,14711.1,0.7118,0.37507,0.95541,0.9925,0.98185,0.99419,0.86901,0.61243,0.29948,0.87738,0.000638115,0.000638115,0.000638115
64,14947.2,0.70453,0.36971,0.95681,0.99224,0.98175,0.9942,0.86663,0.61357,0.30075,0.88028,0.000628101,0.000628101,0.000628101
65,15183.8,0.69302,0.3651,0.94779,0.99227,0.98228,0.99431,0.86577,0.60755,0.29487,0.87579,0.000618034,0.000618034,0.000618034
66,15420.2,0.69613,0.36718,0.95032,0.98991,0.98217,0.99405,0.86257,0.61031,0.29872,0.87829,0.000607916,0.000607916,0.000607916
67,15656.3,0.69665,0.36544,0.95143,0.99158,0.9821,0.99424,0.86082,0.62209,0.30011,0.87984,0.000597754,0.000597754,0.000597754
68,15892.5,0.68738,0.36449,0.95191,0.9905,0.98222,0.99403,0.87691,0.59744,0.29608,0.87338,0.000587551,0.000587551,0.000587551
69,16129.3,0.69361,0.36672,0.95232,0.99027,0.9845,0.99416,0.87654,0.58672,0.29197,0.87363,0.000577311,0.000577311,0.000577311
70,16364.9,0.68147,0.36046,0.94768,0.99126,0.98254,0.99437,0.8708,0.59357,0.2968,0.87472,0.00056704,0.00056704,0.00056704
71,16590.7,0.67685,0.35716,0.94353,0.99179,0.98332,0.99424,0.86154,0.60629,0.29522,0.87394,0.000556742,0.000556742,0.000556742
72,16815.2,0.68136,0.36025,0.94862,0.99149,0.98305,0.9941,0.86778,0.6209,0.29877,0.87639,0.000546421,0.000546421,0.000546421
73,17045.6,0.69528,0.36746,0.95422,0.99023,0.98473,0.99432,0.87334,0.58333,0.2893,0.87206,0.000536081,0.000536081,0.000536081
74,17283.3,0.68319,0.36223,0.94798,0.99257,0.98411,0.9945,0.87439,0.59036,0.28594,0.87199,0.000525728,0.000525728,0.000525728
75,17517.7,0.6659,0.35291,0.94023,0.99188,0.98264,0.99434,0.88036,0.57616,0.28703,0.86965,0.000515366,0.000515366,0.000515366
76,17741.5,0.68206,0.36201,0.94875,0.9905,0.98489,0.99433,0.86641,0.59744,0.29266,0.87304,0.000505,0.000505,0.000505
77,17965.9,0.66229,0.34971,0.93578,0.9916,0.98396,0.99439,0.87962,0.5755,0.28534,0.86555,0.000494634,0.000494634,0.000494634
78,18188.8,0.65903,0.34986,0.9359,0.99268,0.9843,0.99445,0.88323,0.57362,0.28421,0.86704,0.000484272,0.000484272,0.000484272
79,18421,0.66554,0.35311,0.93715,0.99267,0.98357,0.99446,0.87705,0.58184,0.28595,0.86788,0.000473919,0.000473919,0.000473919
80,18651.2,0.67501,0.35544,0.94105,0.99342,0.98254,0.9945,0.87078,0.61314,0.29063,0.87227,0.000463579,0.000463579,0.000463579
81,18878.4,0.66145,0.3498,0.93499,0.99105,0.98617,0.9946,0.88049,0.55736,0.27924,0.86377,0.000453258,0.000453258,0.000453258
82,19111.6,0.65367,0.34679,0.93792,0.99249,0.98551,0.99448,0.87887,0.57009,0.28128,0.86554,0.00044296,0.00044296,0.00044296
83,19345.8,0.6465,0.34303,0.93327,0.99421,0.9842,0.99458,0.87815,0.57014,0.28128,0.86464,0.000432689,0.000432689,0.000432689
84,19582.4,0.65118,0.34567,0.93304,0.99337,0.98411,0.99456,0.88944,0.56009,0.27512,0.86293,0.000422449,0.000422449,0.000422449
85,19818.4,0.64526,0.34281,0.93165,0.99281,0.98479,0.99459,0.8809,0.56993,0.27798,0.86447,0.000412246,0.000412246,0.000412246
86,20047.1,0.64662,0.34381,0.93204,0.99411,0.9842,0.99451,0.88959,0.54906,0.27359,0.86009,0.000402084,0.000402084,0.000402084
87,20271.9,0.65825,0.34514,0.93586,0.99307,0.98453,0.99443,0.88847,0.55136,0.27505,0.86092,0.000391966,0.000391966,0.000391966
88,20496.3,0.64956,0.34337,0.93549,0.9923,0.9856,0.99456,0.87843,0.56332,0.2741,0.86152,0.000381899,0.000381899,0.000381899
89,20723.4,0.63623,0.33823,0.92766,0.99288,0.9844,0.99458,0.88979,0.5547,0.26896,0.85962,0.000371885,0.000371885,0.000371885
90,20950.3,0.63779,0.33723,0.92854,0.99333,0.98538,0.99461,0.88706,0.57238,0.27363,0.86244,0.000361929,0.000361929,0.000361929
91,21185.2,0.63647,0.33891,0.92853,0.99376,0.9843,0.99462,0.89137,0.53744,0.2683,0.85773,0.000352037,0.000352037,0.000352037
92,21413.3,0.63257,0.33672,0.92893,0.99298,0.98462,0.9946,0.89547,0.53648,0.26768,0.857,0.000342211,0.000342211,0.000342211
93,21648.9,0.62654,0.33382,0.92357,0.99406,0.98499,0.9946,0.89327,0.53495,0.26866,0.85629,0.000332457,0.000332457,0.000332457
94,21872.6,0.62568,0.33291,0.92336,0.99161,0.98598,0.99464,0.88457,0.55826,0.27311,0.85944,0.000322778,0.000322778,0.000322778
95,22104.7,0.62338,0.33325,0.92227,0.99292,0.98499,0.99458,0.89379,0.53963,0.2693,0.85525,0.00031318,0.00031318,0.00031318
96,22337.1,0.61861,0.33012,0.92302,0.99201,0.98636,0.99466,0.88892,0.5305,0.26592,0.85523,0.000303665,0.000303665,0.000303665
97,22560.9,0.6238,0.33294,0.92354,0.99387,0.98553,0.99468,0.88733,0.55437,0.2681,0.85831,0.000294239,0.000294239,0.000294239
98,22785.7,0.62187,0.33145,0.92466,0.99406,0.98583,0.99469,0.8929,0.53775,0.26629,0.85652,0.000284906,0.000284906,0.000284906
99,23012.3,0.61211,0.3279,0.92038,0.99335,0.98627,0.99467,0.89536,0.52753,0.26363,0.85553,0.000275668,0.000275668,0.000275668
100,23248.4,0.61043,0.32698,0.9202,0.99426,0.98577,0.99464,0.90133,0.52211,0.25967,0.85302,0.000266532,0.000266532,0.000266532
101,23484,0.60115,0.32228,0.91576,0.99372,0.98666,0.99468,0.89837,0.52669,0.26313,0.85345,0.0002575,0.0002575,0.0002575
102,23720,0.60163,0.32332,0.91317,0.99372,0.9847,0.99461,0.89652,0.53913,0.26403,0.85473,0.000248577,0.000248577,0.000248577
103,23955.7,0.60849,0.32634,0.91963,0.99327,0.98656,0.99465,0.90095,0.52426,0.26386,0.85312,0.000239766,0.000239766,0.000239766
104,24192,0.60835,0.32597,0.91898,0.99408,0.98587,0.99461,0.8955,0.51845,0.26123,0.85196,0.000231071,0.000231071,0.000231071
105,24428.9,0.60514,0.32563,0.91824,0.99386,0.98617,0.99467,0.89229,0.52929,0.26245,0.85253,0.000222497,0.000222497,0.000222497
